dates,R_49049,,R_264,,,R_29019,,R_45045,,R_ca354,,R_co116,,R_oh102,,R_wi203
26/06/2022,1.017969038,,1.048830298,,,1.058409802,,1.892012702,,0.992349445,,0.98873982,,0.673086747,,1.005616286
27/06/2022,0.997656729,,1.04729222,,,1.057405786,,1.907456931,,0.989133496,,0.991092915,,0.703728559,,1.011659151
28/06/2022,0.979748921,,1.046209038,,,1.058210396,,1.897755109,,0.985974425,,0.991682006,,0.751812825,,1.016241953
29/06/2022,0.963412996,,1.045780557,,,1.061283223,,1.866932011,,0.983214588,,0.990032774,,0.818580528,,1.019163091
30/06/2022,0.947235561,,1.045998836,,,1.066899557,,1.818323245,,0.980983485,,0.986087446,,0.900153991,,1.020263096
01/07/2022,0.929869948,,1.046644566,,,1.07471402,,1.756687663,,0.979153855,,0.980123462,,0.986429906,,1.019600036
02/07/2022,0.91089593,,1.047384817,,,1.083734918,,1.688758363,,0.97740451,,0.97241767,,1.063622602,,1.017516618
03/07/2022,0.890611574,,1.047903863,,,1.092591075,,1.62048635,,0.975356265,,0.963206649,,1.12047811,,1.014575624
04/07/2022,0.869831114,,1.04794204,,,1.099932883,,1.555730176,,0.972673698,,0.952731305,,1.150603182,,1.011380893
05/07/2022,0.849592471,,1.047211127,,,1.104578221,,1.496608546,,0.969036868,,0.941256777,,1.153225461,,1.008379368
06/07/2022,0.830653676,,1.045739359,,,1.105380844,,1.444172906,,0.964321468,,0.929064628,,1.13301619,,1.006036238
07/07/2022,0.813364618,,1.044200571,,,1.101913459,,1.398773114,,0.958657229,,0.916431516,,1.098244869,,1.004854169
08/07/2022,0.797636112,,1.04317228,,,1.094508268,,1.359936948,,0.952258074,,0.903685942,,1.058267862,,1.005202812
09/07/2022,0.783146889,,1.042660981,,,1.083993544,,1.326169172,,0.945237185,,0.89146082,,1.020735448,,1.007214146
10/07/2022,0.769439081,,1.042113294,,,1.071407602,,1.295994546,,0.937643575,,0.880601602,,0.988853376,,1.010755948
11/07/2022,0.755980025,,1.04072579,,,1.057762197,,1.268599303,,0.929496557,,0.871954312,,0.963810414,,1.015523145
12/07/2022,0.74238352,,1.037811422,,,1.043906429,,1.243698789,,0.9207986,,0.866119837,,0.946460899,,1.021275104
